spec,stratum,section,object,field,text,obligation,auto_class,auto_rationale,final_class
3.0,field-desc,Object:  Deal,Deal,wseat,IDs of seats and the buyer’s customers to which they refer must be coordinated between bidders and the exchange beforehand.,obligation,D,bilateral/policy language,D
3.0,field-desc,Object:  Deal,Deal,ext,Optional exchange-specific extensions.,permission,D,bilateral/policy language,X
3.0,field-desc,Object:  Metric,Metric,type,Type of metric being presented using exchange curated string names which should be published to bidders beforehand.,recommendation,,needs manual coding,D
3.0,field-desc,Object:  Metric,Metric,vendor,Source of the value using exchange curated string names which should be published to bidders beforehand.,recommendation,,needs manual coding,D
3.0,field-desc,Object:  Metric,Metric,vendor,"If the exchange itself is the source versus a third party, “EXCHANGE” is recommended.",recommendation,,needs manual coding,B
3.0,field-desc,Object:  Metric,Metric,ext,Optional exchange-specific extensions.,permission,D,bilateral/policy language,X
3.0,prose,Object:  Response,Response,,The `bidid` attribute is an optional response tracking ID for bidders.,permission,D,"permission, no conformance test",X
3.0,prose,Object:  Response,Response,,"At least one `Seatbid` object is required, which contains at least one `Bid` for an item.",obligation,,needs manual coding,B
3.0,prose,Object:  Response,Response,,Other attributes are optional.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Response,Response,id,ID of the bid request to which this is a response; must match the request.id attribute.,obligation,,needs manual coding,C
3.0,field-desc,Object:  Response,Response,cdata,The string must be in base85 cookie-safe characters.,obligation,,needs manual coding,A
3.0,field-desc,Object:  Response,Response,seatbid,Array of Seatbid objects; 1+ required if a bid is to be made.,obligation,A,type/enum wording,B
3.0,field-desc,Object:  Response,Response,ext,Optional demand source specific extensions.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Seatbid,Seatbid,ext,Optional demand source specific extensions.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Bid,Bid,price,"Note that while the type indicates float, integer math is highly recommended when handling currencies (e.g., BigDecimal in Java).",recommendation,,needs manual coding,D
3.0,field-desc,Object:  Bid,Bid,tactic,The specific usage and meaning of the tactic ID should be communicated between buyer and exchanges beforehand.,recommendation,,needs manual coding,D
3.0,field-desc,Object:  Bid,Bid,purl,"Pending notice URL called by the exchange when a bid has been declared the winner within the scope of an OpenRTB compliant supply chain (i.e., there may still be non-compliant decisioning such as header bidding).",permission,D,"permission, no conformance test",C
3.0,field-desc,Object:  Bid,Bid,purl,Substitution macros may be included.,permission,D,"permission, no conformance test",A
3.0,field-desc,Object:  Bid,Bid,burl,Substitution macros may be included.,permission,D,"permission, no conformance test",A
3.0,field-desc,Object:  Bid,Bid,lurl,Substitution macros may be included.,permission,D,"permission, no conformance test",A
3.0,field-desc,Object:  Bid,Bid,lurl,"Exchange-specific policy may preclude support for loss notices or the disclosure of winning clearing prices resulting in ${OPENRTB_PRICE} macros being removed (i.e., replaced with a zero-length string).",permission,D,bilateral/policy language,C
3.0,field-desc,Object:  Bid,Bid,ext,Optional demand source specific extensions.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Macro,Macro,ext,Optional demand source specific extensions.,permission,D,"permission, no conformance test",X
3.0,prose,Substitution Macros,,,"Furthermore, if the source value is an optional parameter that was not specified, the macro will simply be removed (i.e., replaced with a zero-length string).",permission,C,runtime/cross-message language,C
3.0,prose,Substitution Macros,,,Custom macros may also be supported at the bidder-implementer’s discretion.,permission,D,bilateral/policy language,D
3.0,prose,Substitution Macros,,,"Note that an exchange may also elect whether or not to support custom macros, but it is expected that any exchange that offers the ability to serve pre-uploaded ads will do so.",permission,D,"permission, no conformance test",D
3.0,prose,Substitution Macros,,,Note that OpenRTB compliant exchanges must support all macros for which data is available and support substitution in both markup and notification URLs.,obligation,,needs manual coding,C
3.0,prose,Substitution Macros,,,"When rendering markup for test or ad quality purposes, some macro values (e.g., clearing price) may not be known.",permission,C,runtime/cross-message language,X
3.0,prose,Substitution Macros,,,"This may be of particular interest for use cases where price information is carried beyond the exchange, through the publisher, and into the device browser via a tracking pixel in the markup.",permission,D,"permission, no conformance test",X
3.0,prose,Substitution Macros,,,"To specify that a particular macro is to be encoded, the suffix `:X` should be appended to the macro name, where X is a string that indicates the algorithm to be used.",recommendation,C,runtime/cross-message language,A
3.0,prose,Substitution Macros,,,Algorithms choices are not defined by this specification and must be mutually agreed upon between parties.,obligation,,needs manual coding,D
3.0,prose,Event Notification,,,Additional events may be defined in Layer-4 specific to domain objects.,permission,D,"permission, no conformance test",X
3.0,prose,Event Notification,,,Any entity that invokes an event URL must first ensure the resolution of all standard OpenRTB substitution macros.,obligation,,needs manual coding,C
3.0,prose,Event:  Pending,,,"However, since there may still be upstream decisioning that is not OpenRTB compliant (e.g., header bidding), this event cannot always be equated to a win.",obligation,,needs manual coding,X
3.0,prose,Event:  Pending,,,"NOTE: This event should be interpreted for guidance only (i.e., the bid has passed all OpenRTB compliant gates in the supply chain).",recommendation,,needs manual coding,D
3.0,prose,Event:  Billing,,,This event is subject to exchange-specific business policies that should be conveyed clearly to their demand partners.,recommendation,D,bilateral/policy language,D
3.0,prose,Event:  Billing,,,"NOTE: While the clearing price macro may be resolved in other events as well as DSP trackers in markup, this URL properly implemented is the ONLY official method of communicating a billing event in the OpenRTB protocol.",permission,C,runtime/cross-message language,C
3.0,prose,Event:  Billing,,,"This should not be delegated to another party including a client-side pixel, although a pixel may be the initiating signal for billing to the exchange.",recommendation,,needs manual coding,C
3.0,prose,Event:  Billing,,,"BEST PRACTICE: Upon determining a billable event has occurred (e.g., receipt of client-initiated render signal), an exchange should invoke the billing notice from server-side and as ""close"" as possible to where the exchange books revenue in order to minimize discrepancies between itself and its demand sources.",recommendation,C,runtime/cross-message language,C
3.0,prose,Event:  Billing,,,"If an entity calling a billing notice receives a response other than HTTP 200 or 204, it should consider a retry scheme (e.g., every 10 seconds for the next minute).",recommendation,C,runtime/cross-message language,C
3.0,prose,Event:  Billing,,,"Conversely, an entity receiving billing notices should endeavor to make their endpoint idempotent to avoid double counting.",recommendation,,needs manual coding,C
3.0,prose,Event:  Billing,,,"If the `bid.burl` attribute is specified, it too should be fired at the same time if the exchange is adhering to this policy.",recommendation,C,runtime/cross-message language,C
3.0,prose,Event:  Billing,,,"However, subtle technical issues may lead to additional discrepancies and bidders are cautioned to avoid this scenario.",permission,D,"permission, no conformance test",X
3.0,prose,Event:  Loss,,,"At this point, an exchange may invoke the URL provided by the demand source in the `bid.lurl` attribute.",permission,C,runtime/cross-message language,C
3.0,prose,Event:  Loss,,,Exchange support for firing loss notifications is not required for OpenRTB compliance.,obligation,,needs manual coding,X
3.0,prose,Event:  Loss,,,"Furthermore, exchange-specific policy may preclude support for loss notices or the disclosure of winning clearing prices resulting in `${OPENRTB_PRICE}` macros being removed (i.e., replaced with a zero-length string).",permission,D,bilateral/policy language,D
3.0,prose,Complex Event Chains,,,"For example, an intermediary such as a bid request traffic shaper that may elect to allow events to bypass directly downstream, whereas a full exchange especially one engaging in revenue-share may need to intercept.",permission,D,"permission, no conformance test",X
3.0,prose,Complex Event Chains,,,Motivation to intercept versus bypass may also vary by event type.,permission,D,"permission, no conformance test",X
3.0,prose,Complex Event Chains,,,"For loss notices, however, some may be interested and others not.",permission,D,"permission, no conformance test",X
3.0,prose,Complex Event Chains,,,"It should call loss notices for those it drops since it’s essentially declaring these losses, but it may elect to allow the upstream entity to invoke loss notices directly downstream when it decides to drop the next bid subset.",recommendation,,needs manual coding,C
3.0,prose,Inventory Authentication,,,This practice becomes particularly important in complex supply chains where a buyer may not have a trust relationship with all intermediaries.,permission,D,bilateral/policy language,X
3.0,prose,Ads.cert Primer,,,"Digital signatures must be produced either by the publisher or a trusted agent thereof (e.g., a primary technology provider).",obligation,B,cross-field/registry language,C
3.0,prose,Ads.cert Primer,,,"Prior to authenticating inventory, a publisher must generate a public and private key pair.",obligation,,needs manual coding,C
3.0,prose,Ads.cert Primer,,,The private key is used by the publisher for signing and must be kept secret.,obligation,,needs manual coding,D
3.0,prose,Ads.cert Primer,,,The public key must be placed in the same publicly accessible web directory as specified by the ads.txt standard.,obligation,,needs manual coding,C
3.0,prose,Ads.cert Primer,,,"The entire bid request cannot be signed since there are legitimate use cases for portions of the request to be altered by intermediaries (e.g., new data to enrich the inventory, reducing precision of IP addresses or location information based on privacy policies, etc.).",obligation,,needs manual coding,X
3.0,prose,Ads.cert Primer,,,"Instead, specific attributes in the request are chosen that are material to inventory authentication and which should be immutable by any intermediary (e.g., the publisher’s site domain or application bundle).",recommendation,,needs manual coding,C
3.0,prose,Ads.cert Primer,,,"In addition, the digest must contain an element to tie the digital signature to this and only this transaction in order to avoid replay attacks.",obligation,C,runtime/cross-message language,C
3.0,prose,Ads.cert Primer,,,"Therefore, the digest must include the transaction ID (i.e., the `Source.tid` attribute) and/or at least the request origination timestamp (i.e., the `Source.ts` attribute).",obligation,,needs manual coding,C
3.0,prose,Ads.cert Primer,,,"The `Source` object must also contain the name of the publisher’s public key located in their ads.txt directory (i.e., the `Source.cert` attribute) and a map of the digest structure used to create the string that was signed (i.e., the `Source.dsmap` attribute).",obligation,,needs manual coding,B
3.0,prose,Detailed Implementation Guide,,,"To put these concepts into practice, publishers or their trusted agents must know how to generate their public/private key pairs, how to sign transaction digest strings, and how to communicate this and related information to their immediate exchange partners.",obligation,,needs manual coding,X
3.0,prose,Detailed Implementation Guide,,,Both publishers and those vendors wishing to authenticate requests must know the precise method of creating a digest string from bid request attributes and how to validate a signature given a public key.,obligation,C,runtime/cross-message language,X
3.0,prose,Bid Request,,,Some optional attributes have been omitted for brevity.,permission,D,"permission, no conformance test",X
3.0,prose,Bid Request,,,The `spec` object should have one `placement` object that carries the details of the impression being offered under this item.,recommendation,,needs manual coding,A
3.0,prose,Bid Response,,,"The “media"" object should have one `ad` object that carries the details of the ad to be served if the bid wins.",recommendation,,needs manual coding,A
3.0,prose,Bid Response,,,"In practice, media would be pass either by value (i.e., details included as domain objects) or pass by reference (i.e., using the media ID and optional macros).",permission,B,cross-field/registry language,X
3.0,field-desc,Appendix B:  Change Log,,3.0,"DOOH improvements: A field has been added to represent quantity of impressions as a float, since DOOH impressions may not be a whole number.",permission,D,"permission, no conformance test",X
3.0,prose,Appendix C:  Errata,,,"Only minor fixes, such as clarifications or corrections to descriptions, may be treated as errata.",permission,D,"permission, no conformance test",X
3.0,prose,Appendix D:  Versioning Policy,,,"In other words, OpenRTB 3.1 should be considered a distinct version from OpenRTB 3.0 when there is a need for distinguishing versions.",recommendation,,needs manual coding,X
